sale_id,date,retailer_id,product_id,quantity,unit_price,revenue,discount_pct,channel
74,2024-01-01,92,51,9,355.38,3198.39,15,B2B
75,2024-01-01,17,10,14,118.52,1659.28,20,Online
76,2024-01-01,45,67,7,221.81,1552.67,0,In-Store
77,2024-01-01,65,56,2,464.37,928.74,0,In-Store
78,2024-01-01,21,22,9,386.01,3474.09,0,In-Store
79,2024-01-01,115,67,19,210.72,4003.67,5,In-Store
80,2024-01-01,36,71,5,412.84,2064.2,0,B2B
81,2024-01-01,76,22,18,347.41,6253.36,10,B2B
82,2024-01-01,106,6,1,294.3,294.3,5,In-Store
83,2024-01-01,54,74,12,280.05,3360.58,20,B2B
84,2024-01-01,83,38,10,407.58,4075.83,15,In-Store
85,2024-01-01,10,59,1,159.66,159.66,15,Online
86,2024-01-01,27,60,8,190.13,1521.07,10,In-Store
87,2024-01-01,52,45,7,499.26,3494.82,0,In-Store
88,2024-01-01,60,31,6,396.62,2379.72,0,In-Store
89,2024-01-01,7,13,15,44.0,660.07,15,In-Store
90,2024-01-01,105,21,21,394.07,8275.37,10,In-Store
91,2024-01-01,64,21,17,415.96,7071.28,5,Online
92,2024-01-01,12,3,14,115.44,1616.16,0,In-Store
93,2024-01-01,46,75,1,324.78,324.78,20,B2B
94,2024-01-01,37,61,24,211.85,5084.4,0,Online
95,2024-01-01,113,18,7,232.87,1630.12,15,In-Store
96,2024-01-01,52,6,2,309.79,619.58,0,In-Store
97,2024-01-01,37,71,4,330.27,1321.09,20,B2B
98,2024-01-01,106,36,27,253.11,6833.97,0,In-Store
99,2024-01-01,51,13,10,46.59,465.93,10,B2B
100,2024-01-01,97,47,7,357.17,2500.19,15,B2B
101,2024-01-01,6,6,1,278.81,278.81,10,Online
102,2024-01-01,59,67,5,221.81,1109.05,0,In-Store
103,2024-01-01,41,79,7,304.8,2133.59,5,B2B
104,2024-01-01,65,44,17,78.68,1337.54,5,Online
105,2024-01-01,48,3,12,98.12,1177.49,15,B2B
106,2024-01-01,102,40,1,285.39,285.39,5,B2B
107,2024-01-01,30,74,2,350.06,700.12,0,B2B
108,2024-01-01,100,80,12,173.46,2081.52,0,In-Store
109,2024-01-01,90,74,4,280.05,1120.19,20,In-Store
110,2024-01-01,20,54,11,142.77,1570.43,15,B2B
111,2024-01-01,118,79,18,320.84,5775.12,0,In-Store
112,2024-01-01,27,67,12,177.45,2129.38,20,B2B
113,2024-01-01,41,49,7,338.72,2371.07,10,B2B
114,2024-01-01,87,46,11,467.96,5147.56,0,In-Store
115,2024-01-01,72,36,6,240.45,1442.73,5,In-Store
116,2024-01-01,89,27,25,298.75,7468.65,10,B2B
117,2024-01-01,37,36,6,215.14,1290.86,15,Online
118,2024-01-01,99,45,5,474.3,2371.48,5,In-Store
119,2024-01-01,119,45,27,399.41,10784.02,20,In-Store
120,2024-01-01,106,26,20,458.75,9174.91,5,In-Store
121,2024-01-01,79,14,21,209.9,4407.9,0,B2B
122,2024-01-01,82,29,7,274.49,1921.43,15,In-Store
123,2024-01-01,13,61,6,211.85,1271.1,0,Online
124,2024-01-01,62,61,5,201.26,1006.29,5,In-Store
125,2024-01-01,83,37,2,492.95,985.9,0,B2B
126,2024-01-01,69,30,2,153.67,307.34,0,Online
127,2024-01-01,120,23,3,216.35,649.05,15,Online
128,2024-01-01,120,24,14,441.44,6180.16,0,In-Store
129,2024-01-01,78,73,3,266.69,800.06,10,In-Store
130,2024-01-01,83,59,18,187.84,3381.12,0,B2B
131,2024-01-01,35,60,13,190.13,2471.74,10,In-Store
132,2024-01-01,83,59,9,187.84,1690.56,0,In-Store
133,2024-01-01,73,38,4,407.58,1630.33,15,Online
134,2024-01-01,42,66,4,263.42,1053.68,0,In-Store
135,2024-01-01,62,18,9,273.97,2465.73,0,In-Store
136,2024-01-01,31,50,16,291.99,4671.79,10,In-Store
137,2024-01-01,93,75,25,365.37,9134.33,10,In-Store
138,2024-01-01,86,8,4,53.39,213.56,0,Online
139,2024-01-01,119,65,18,50.91,916.39,5,In-Store
140,2024-01-01,29,79,9,256.67,2310.05,20,In-Store
141,2024-01-01,96,59,24,150.27,3606.53,20,B2B
142,2024-01-01,98,28,8,182.28,1458.24,0,B2B
143,2024-01-01,68,58,12,397.94,4775.28,0,In-Store
144,2024-01-01,116,71,11,412.84,4541.24,0,In-Store
145,2024-01-01,110,42,12,138.18,1658.16,0,B2B
146,2024-01-01,12,63,18,397.49,7154.82,0,Online
147,2024-01-01,66,17,14,96.79,1355.06,0,B2B
148,2024-01-01,87,60,13,179.57,2334.42,15,In-Store
149,2024-01-01,96,1,9,152.01,1368.09,0,Online
150,2024-01-01,90,45,3,499.26,1497.78,0,In-Store
151,2024-01-01,5,61,5,211.85,1059.25,0,Online
152,2024-01-01,115,48,21,350.38,7357.95,15,Online
153,2024-01-01,88,11,16,123.76,1980.14,10,In-Store
154,2024-01-01,69,23,16,254.53,4072.48,0,In-Store
155,2024-01-01,39,3,20,98.12,1962.48,15,B2B
156,2024-01-01,106,49,9,338.72,3048.52,10,In-Store
157,2024-01-01,25,36,2,215.14,430.29,15,B2B
158,2024-01-01,31,3,5,115.44,577.2,0,Online
159,2024-01-01,87,77,2,314.07,628.14,0,Online
160,2024-01-01,30,57,16,373.55,5976.8,0,In-Store
161,2024-01-01,38,65,9,48.23,434.08,10,B2B
162,2024-01-01,99,77,12,314.07,3768.84,0,B2B
163,2024-01-01,53,29,10,322.93,3229.3,0,Online
164,2024-01-01,64,72,2,35.85,71.71,15,B2B
165,2024-01-01,90,41,17,407.21,6922.54,5,Online
166,2024-01-01,97,24,30,441.44,13243.2,0,In-Store
167,2024-01-01,104,19,17,323.36,5497.07,15,Online
168,2024-01-01,68,72,6,40.07,240.43,5,In-Store
169,2024-01-01,83,43,3,154.67,464.02,10,In-Store
170,2024-01-01,93,69,9,284.12,2557.09,15,B2B
171,2024-01-01,6,78,2,433.52,867.04,0,Online
172,2024-01-01,112,27,10,331.94,3319.4,0,In-Store
173,2024-01-01,95,25,3,65.3,195.91,20,In-Store
174,2024-01-01,91,78,5,433.52,2167.6,0,B2B
175,2024-01-01,100,42,10,124.36,1243.62,10,In-Store
176,2024-01-01,47,34,24,69.83,1675.97,20,In-Store
177,2024-01-01,98,61,13,190.66,2478.64,10,In-Store
178,2024-01-01,6,53,24,281.88,6765.12,0,In-Store
179,2024-01-01,71,34,14,74.2,1038.75,15,In-Store
180,2024-01-01,26,20,7,21.56,150.92,0,Online
181,2024-01-01,84,71,12,330.27,3963.26,20,Online
182,2024-01-01,22,59,10,150.27,1502.72,20,In-Store
183,2024-01-01,83,70,2,101.45,202.9,0,In-Store
184,2024-01-02,18,53,11,281.88,3100.68,0,In-Store
185,2024-01-02,65,28,14,145.82,2041.54,20,Online
186,2024-01-02,1,3,23,115.44,2655.12,0,In-Store
187,2024-01-02,93,68,15,204.17,3062.61,5,In-Store
188,2024-01-02,105,65,26,53.59,1393.34,0,In-Store
189,2024-01-02,68,13,5,49.18,245.91,5,In-Store
190,2024-01-02,102,35,13,37.64,489.29,15,Online
191,2024-01-02,32,73,8,296.32,2370.56,0,In-Store
192,2024-01-02,52,12,15,140.53,2107.92,20,In-Store
193,2024-01-02,90,2,6,189.14,1134.85,15,In-Store
194,2024-01-02,110,73,3,296.32,888.96,0,In-Store
195,2024-01-02,116,28,14,182.28,2551.92,0,In-Store
196,2024-01-02,116,36,14,253.11,3543.54,0,In-Store
197,2024-01-02,3,41,9,364.34,3279.1,15,In-Store
198,2024-01-02,21,39,13,105.83,1375.73,15,B2B
199,2024-01-02,50,43,7,171.86,1203.02,0,B2B
200,2024-01-02,7,45,4,499.26,1997.04,0,In-Store
201,2024-01-02,99,78,30,368.49,11054.76,15,In-Store
202,2024-01-02,82,4,11,326.82,3595.06,20,Online
203,2024-01-02,46,30,12,130.62,1567.43,15,In-Store
204,2024-01-02,85,75,8,385.67,3085.37,5,In-Store
205,2024-01-02,11,10,4,148.15,592.6,0,Online
206,2024-01-02,47,41,4,407.21,1628.83,5,Online
207,2024-01-02,98,47,7,420.2,2941.4,0,In-Store
208,2024-01-02,58,56,10,394.71,3947.14,15,In-Store
209,2024-01-02,12,4,13,367.68,4779.8,10,Online
210,2024-01-02,38,2,14,222.52,3115.28,0,B2B
211,2024-01-02,74,32,11,184.73,2032.04,15,In-Store
212,2024-01-02,35,18,15,273.97,4109.55,0,In-Store
213,2024-01-02,56,22,14,308.81,4323.31,20,In-Store
214,2024-01-02,33,47,5,336.16,1680.8,20,B2B
215,2024-01-02,26,79,9,304.8,2743.18,5,In-Store
216,2024-01-02,43,51,21,376.28,7901.9,10,Online
217,2024-01-02,56,43,29,154.67,4485.55,10,B2B
218,2024-01-02,62,26,7,410.46,2873.2,15,In-Store
219,2024-01-02,95,38,14,479.51,6713.14,0,In-Store
220,2024-01-02,36,49,12,376.36,4516.32,0,B2B
221,2024-01-02,24,70,16,81.16,1298.56,20,In-Store
222,2024-01-02,103,57,8,373.55,2988.4,0,Online
223,2024-01-02,18,64,15,142.27,2134.05,0,Online
224,2024-01-02,10,49,10,301.09,3010.88,20,B2B
225,2024-01-02,69,52,25,197.27,4931.7,15,B2B
226,2024-01-02,102,5,16,123.35,1973.6,0,In-Store
227,2024-01-02,85,32,7,217.33,1521.31,0,B2B
228,2024-01-02,97,52,22,197.27,4339.9,15,In-Store
229,2024-01-02,13,2,13,222.52,2892.76,0,Online
230,2024-01-02,51,48,12,412.21,4946.52,0,In-Store
231,2024-01-02,62,4,2,408.53,817.06,0,In-Store
232,2024-01-02,45,19,11,380.42,4184.62,0,B2B
233,2024-01-02,45,62,17,238.94,4062.05,20,In-Store
234,2024-01-02,39,9,2,153.43,306.86,0,In-Store
235,2024-01-02,83,44,4,82.82,331.28,0,In-Store
236,2024-01-02,23,67,19,188.54,3582.23,15,Online
237,2024-01-02,103,30,10,153.67,1536.7,0,Online
238,2024-01-02,4,51,17,334.47,5686.02,20,B2B
239,2024-01-02,50,55,1,139.77,139.77,0,In-Store
240,2024-01-02,74,9,3,153.43,460.29,0,In-Store
241,2024-01-02,26,42,9,110.54,994.9,20,B2B
242,2024-01-02,77,41,10,428.64,4286.4,0,In-Store
243,2024-01-02,109,46,26,444.56,11558.61,5,B2B
244,2024-01-02,11,76,2,84.0,168.0,0,In-Store
245,2024-01-02,24,15,14,246.04,3444.57,15,Online
246,2024-01-02,18,77,30,314.07,9422.1,0,Online
247,2024-01-02,89,69,10,267.41,2674.08,20,In-Store
248,2024-01-02,24,18,13,273.97,3561.61,0,In-Store
249,2024-01-02,63,2,7,189.14,1323.99,15,B2B
250,2024-01-02,84,65,19,42.87,814.57,20,Online
251,2024-01-02,63,57,8,373.55,2988.4,0,In-Store
252,2024-01-02,5,38,4,455.53,1822.14,5,In-Store
253,2024-01-02,73,59,12,187.84,2254.08,0,B2B
254,2024-01-02,35,15,34,260.51,8857.48,10,B2B
255,2024-01-02,98,6,15,263.32,3949.82,15,In-Store
256,2024-01-02,39,32,2,195.6,391.19,10,In-Store
257,2024-01-02,111,57,2,373.55,747.1,0,In-Store
258,2024-01-02,89,76,23,71.4,1642.2,15,In-Store
259,2024-01-02,18,79,13,320.84,4170.92,0,B2B
260,2024-01-02,69,45,11,499.26,5491.86,0,In-Store
261,2024-01-02,38,38,19,479.51,9110.69,0,In-Store
262,2024-01-02,118,53,2,281.88,563.76,0,In-Store
263,2024-01-02,19,32,12,184.73,2216.77,15,Online
264,2024-01-02,74,19,7,323.36,2263.5,15,Online
265,2024-01-03,52,12,23,158.09,3636.16,10,Online
266,2024-01-03,42,63,25,397.49,9937.25,0,Online
267,2024-01-03,109,46,5,397.77,1988.83,15,In-Store
268,2024-01-03,106,55,8,125.79,1006.34,10,In-Store
269,2024-01-03,71,44,12,66.26,795.07,20,In-Store
270,2024-01-03,6,7,4,227.98,911.94,20,In-Store
271,2024-01-03,119,16,9,498.72,4488.48,0,Online
272,2024-01-03,89,26,9,458.75,4128.71,5,In-Store
273,2024-01-03,12,36,11,227.8,2505.79,10,In-Store
274,2024-01-03,51,7,8,284.98,2279.84,0,Online
275,2024-01-03,91,12,2,140.53,281.06,20,In-Store
276,2024-01-03,76,17,8,77.43,619.46,20,In-Store
277,2024-01-03,90,2,15,189.14,2837.13,15,In-Store
278,2024-01-03,10,62,4,298.68,1194.72,0,In-Store
279,2024-01-03,48,41,8,428.64,3429.12,0,In-Store
280,2024-01-03,68,9,19,153.43,2915.17,0,Online
281,2024-01-03,93,45,12,499.26,5991.12,0,Online
282,2024-01-03,88,79,18,320.84,5775.12,0,In-Store
283,2024-01-03,97,18,7,232.87,1630.12,15,In-Store
284,2024-01-03,41,55,5,139.77,698.85,0,In-Store
285,2024-01-03,77,71,16,392.2,6275.17,5,In-Store
286,2024-01-03,27,39,13,124.5,1618.5,0,Online
287,2024-01-03,83,38,2,479.51,959.02,0,Online
288,2024-01-03,15,50,13,324.43,4217.59,0,B2B
289,2024-01-03,47,2,11,189.14,2080.56,15,In-Store
290,2024-01-03,88,70,7,101.45,710.15,0,In-Store
291,2024-01-03,9,76,1,84.0,84.0,0,In-Store
292,2024-01-03,65,51,10,355.38,3553.76,15,Online
293,2024-01-03,11,52,10,232.08,2320.8,0,In-Store
294,2024-01-03,40,11,1,137.51,137.51,0,In-Store
295,2024-01-03,42,69,22,334.26,7353.72,0,In-Store
296,2024-01-03,94,56,6,464.37,2786.22,0,Online
297,2024-01-03,59,15,23,274.99,6324.7,5,In-Store
298,2024-01-03,2,16,9,498.72,4488.48,0,Online
299,2024-01-03,67,45,32,474.3,15177.5,5,In-Store
300,2024-01-03,17,48,12,412.21,4946.52,0,In-Store
301,2024-01-03,104,43,12,171.86,2062.32,0,In-Store
302,2024-01-03,81,74,2,315.05,630.11,10,In-Store
303,2024-01-03,110,64,12,142.27,1707.24,0,In-Store
304,2024-01-03,115,14,34,209.9,7136.6,0,In-Store
305,2024-01-03,1,66,2,263.42,526.84,0,In-Store
306,2024-01-03,61,6,11,309.79,3407.69,0,In-Store
307,2024-01-03,71,5,9,123.35,1110.15,0,Online
308,2024-01-03,35,41,5,428.64,2143.2,0,B2B
309,2024-01-03,23,7,11,284.98,3134.78,0,Online
310,2024-01-03,113,9,13,145.76,1894.86,5,In-Store
311,2024-01-03,71,12,9,175.66,1580.94,0,In-Store
312,2024-01-03,101,73,18,296.32,5333.76,0,Online
313,2024-01-03,76,48,21,412.21,8656.41,0,B2B
314,2024-01-03,20,32,1,217.33,217.33,0,In-Store
315,2024-01-03,45,70,1,101.45,101.45,0,Online
316,2024-01-03,14,40,7,300.41,2102.87,0,Online
317,2024-01-03,8,63,4,397.49,1589.96,0,In-Store
318,2024-01-03,115,30,27,138.3,3734.18,10,Online
319,2024-01-03,75,11,3,116.88,350.65,15,In-Store
320,2024-01-03,73,76,1,84.0,84.0,0,In-Store
321,2024-01-03,34,38,21,407.58,8559.25,15,In-Store
322,2024-01-03,58,41,4,428.64,1714.56,0,In-Store
323,2024-01-03,14,75,4,324.78,1299.1,20,Online
324,2024-01-03,53,41,4,428.64,1714.56,0,Online
325,2024-01-03,60,40,17,300.41,5106.97,0,In-Store
326,2024-01-03,106,39,20,112.05,2241.0,10,In-Store
327,2024-01-03,92,12,5,149.31,746.56,15,B2B
328,2024-01-03,87,7,11,284.98,3134.78,0,In-Store
329,2024-01-03,110,52,11,232.08,2552.88,0,In-Store
330,2024-01-03,14,60,4,211.26,845.04,0,In-Store
331,2024-01-03,26,17,9,96.79,871.11,0,B2B
332,2024-01-03,34,76,4,84.0,336.0,0,In-Store
333,2024-01-03,104,57,4,336.19,1344.78,10,In-Store
334,2024-01-03,60,6,2,263.32,526.64,15,Online
335,2024-01-03,4,64,10,142.27,1422.7,0,In-Store
336,2024-01-03,117,28,9,145.82,1312.42,20,In-Store
337,2024-01-03,79,5,26,117.18,3046.74,5,Online
338,2024-01-03,113,53,13,281.88,3664.44,0,In-Store
339,2024-01-03,18,50,20,324.43,6488.6,0,B2B
340,2024-01-03,49,3,15,92.35,1385.28,20,In-Store
341,2024-01-03,65,73,10,296.32,2963.2,0,In-Store
342,2024-01-03,77,41,4,407.21,1628.83,5,In-Store
343,2024-01-03,68,61,16,211.85,3389.6,0,In-Store
344,2024-01-03,32,13,8,51.77,414.16,0,In-Store
345,2024-01-03,109,74,20,350.06,7001.2,0,In-Store
346,2024-01-03,76,31,13,356.96,4640.45,10,B2B
347,2024-01-03,91,4,10,408.53,4085.3,0,B2B
348,2024-01-03,108,25,16,81.63,1306.08,0,Online
349,2024-01-03,12,5,1,123.35,123.35,0,In-Store
350,2024-01-03,62,68,1,214.92,214.92,0,In-Store
351,2024-01-03,92,44,4,74.54,298.15,10,In-Store
352,2024-01-03,19,3,20,115.44,2308.8,0,In-Store
353,2024-01-03,111,68,8,193.43,1547.42,10,Online
354,2024-01-03,13,76,17,84.0,1428.0,0,In-Store
355,2024-01-03,102,56,21,464.37,9751.77,0,B2B
356,2024-01-03,101,79,18,320.84,5775.12,0,Online
357,2024-01-03,94,40,8,300.41,2403.28,0,B2B
358,2024-01-03,109,51,26,376.28,9783.31,10,B2B
359,2024-01-03,82,29,17,258.34,4391.85,20,In-Store
360,2024-01-03,96,43,3,154.67,464.02,10,In-Store
361,2024-01-03,106,12,13,166.88,2169.4,5,In-Store
362,2024-01-03,89,32,4,217.33,869.32,0,In-Store
363,2024-01-03,50,7,20,284.98,5699.6,0,Online
364,2024-01-04,45,49,21,301.09,6322.85,20,B2B
365,2024-01-04,21,29,9,322.93,2906.37,0,In-Store
366,2024-01-04,41,3,13,115.44,1500.72,0,In-Store
367,2024-01-04,114,22,6,386.01,2316.06,0,B2B
368,2024-01-04,44,12,14,140.53,1967.39,20,In-Store
369,2024-01-04,84,56,7,394.71,2763.0,15,In-Store
370,2024-01-04,13,7,16,284.98,4559.68,0,Online
371,2024-01-04,93,71,27,392.2,10589.35,5,In-Store
372,2024-01-04,13,31,3,317.3,951.89,20,In-Store
373,2024-01-04,47,7,1,270.73,270.73,5,B2B
374,2024-01-04,26,62,2,298.68,597.36,0,In-Store
375,2024-01-04,61,11,3,116.88,350.65,15,Online
376,2024-01-04,115,63,12,337.87,4054.4,15,In-Store
377,2024-01-04,114,48,7,329.77,2308.38,20,In-Store
378,2024-01-04,57,34,10,82.93,829.25,5,B2B
379,2024-01-04,20,8,2,48.05,96.1,10,B2B
380,2024-01-04,97,53,28,281.88,7892.64,0,Online
381,2024-01-04,54,67,11,177.45,1951.93,20,B2B
382,2024-01-04,61,31,8,396.62,3172.96,0,B2B
383,2024-01-04,116,74,14,350.06,4900.84,0,In-Store
384,2024-01-04,23,58,9,397.94,3581.46,0,In-Store
385,2024-01-04,55,6,4,263.32,1053.29,15,In-Store
386,2024-01-04,107,19,30,380.42,11412.6,0,In-Store
387,2024-01-04,72,50,10,308.21,3082.09,5,B2B
388,2024-01-04,118,59,1,159.66,159.66,15,In-Store
389,2024-01-04,20,54,3,167.96,503.88,0,In-Store
390,2024-01-04,100,73,4,266.69,1066.75,10,Online
391,2024-01-04,50,34,20,69.83,1396.64,20,In-Store
392,2024-01-04,36,23,11,216.35,2379.86,15,In-Store
393,2024-01-04,114,51,7,418.09,2926.63,0,Online
394,2024-01-04,115,35,16,42.07,673.06,5,In-Store
395,2024-01-04,108,36,18,253.11,4555.98,0,In-Store
396,2024-01-04,39,18,21,246.57,5178.03,10,In-Store
397,2024-01-04,78,54,2,167.96,335.92,0,Online
398,2024-01-04,98,63,19,397.49,7552.31,0,B2B
399,2024-01-04,9,21,6,372.17,2233.03,15,In-Store
400,2024-01-04,113,68,11,214.92,2364.12,0,In-Store
401,2024-01-04,32,8,2,48.05,96.1,10,In-Store
402,2024-01-04,48,36,15,253.11,3796.65,0,In-Store
403,2024-01-04,48,31,16,396.62,6345.92,0,Online
404,2024-01-04,71,76,8,79.8,638.4,5,In-Store
405,2024-01-04,4,37,8,492.95,3943.6,0,In-Store
406,2024-01-04,87,29,8,274.49,2195.92,15,B2B
407,2024-01-04,111,3,1,115.44,115.44,0,In-Store
408,2024-01-04,103,77,1,298.37,298.37,5,In-Store
409,2024-01-04,115,55,25,111.82,2795.4,20,In-Store
410,2024-01-04,60,28,18,154.94,2788.88,15,B2B
411,2024-01-04,1,14,26,188.91,4911.66,10,B2B
412,2024-01-04,78,77,7,314.07,2198.49,0,Online
413,2024-01-04,44,9,5,145.76,728.79,5,In-Store
414,2024-01-04,25,39,3,124.5,373.5,0,In-Store
415,2024-01-04,52,77,15,314.07,4711.05,0,Online
416,2024-01-04,34,38,22,479.51,10549.22,0,B2B
417,2024-01-04,105,74,11,350.06,3850.66,0,B2B
418,2024-01-04,117,61,20,211.85,4237.0,0,B2B
419,2024-01-04,38,24,4,419.37,1677.47,5,B2B
420,2024-01-04,88,24,12,441.44,5297.28,0,In-Store
421,2024-01-04,96,29,12,290.64,3487.64,10,In-Store
422,2024-01-04,75,34,7,87.29,611.03,0,Online
423,2024-01-04,111,7,11,284.98,3134.78,0,Online
424,2024-01-04,65,25,4,69.39,277.54,15,B2B
425,2024-01-04,53,39,2,124.5,249.0,0,In-Store
426,2024-01-04,44,26,9,386.31,3476.81,20,In-Store
427,2024-01-04,111,41,3,342.91,1028.74,20,In-Store
428,2024-01-04,41,23,2,241.8,483.61,5,In-Store
429,2024-01-04,74,22,4,386.01,1544.04,0,In-Store
430,2024-01-04,56,79,22,256.67,5646.78,20,Online
431,2024-01-04,5,1,9,136.81,1231.28,10,In-Store
432,2024-01-04,97,42,25,138.18,3454.5,0,In-Store
433,2024-01-04,89,29,18,322.93,5812.74,0,Online
434,2024-01-04,76,65,9,53.59,482.31,0,In-Store
435,2024-01-04,59,38,19,431.56,8199.62,10,Online
436,2024-01-04,44,18,8,273.97,2191.76,0,In-Store
437,2024-01-04,3,52,9,232.08,2088.72,0,In-Store
438,2024-01-04,76,3,16,103.9,1662.34,10,In-Store
439,2024-01-04,113,49,7,376.36,2634.52,0,B2B
440,2024-01-04,85,7,3,284.98,854.94,0,In-Store
441,2024-01-04,54,15,8,274.99,2199.9,5,Online
442,2024-01-04,27,20,1,21.56,21.56,0,B2B
443,2024-01-04,80,35,22,37.64,828.04,15,In-Store
444,2024-01-04,93,66,28,263.42,7375.76,0,In-Store
445,2024-01-04,26,64,13,135.16,1757.03,5,B2B
446,2024-01-04,46,26,7,482.89,3380.23,0,B2B
447,2024-01-04,117,64,12,113.82,1365.79,20,In-Store
448,2024-01-04,1,31,1,396.62,396.62,0,B2B
449,2024-01-04,20,64,2,142.27,284.54,0,In-Store
450,2024-01-04,83,33,8,351.06,2808.5,5,In-Store
451,2024-01-04,7,60,5,211.26,1056.3,0,In-Store
452,2024-01-04,103,47,8,420.2,3361.6,0,In-Store
453,2024-01-04,2,6,9,309.79,2788.11,0,In-Store
454,2024-01-04,115,46,30,444.56,13336.86,5,In-Store
455,2024-01-04,105,48,16,350.38,5606.06,15,Online
456,2024-01-04,35,59,23,150.27,3456.26,20,Online
457,2024-01-04,15,22,9,386.01,3474.09,0,In-Store
458,2024-01-04,54,14,11,167.92,1847.12,20,In-Store
459,2024-01-04,49,79,15,320.84,4812.6,0,Online
460,2024-01-04,15,63,23,397.49,9142.27,0,In-Store
461,2024-01-04,2,41,31,428.64,13287.84,0,In-Store
462,2024-01-04,67,67,28,221.81,6210.68,0,Online
