month,region,category,total_revenue,total_quantity,total_transactions,avg_discount,unique_retailers,unique_products
2024-04,North,Home Care,1419566.76,6037,405,7.320987654320987,47,16
2024-04,North,Personal Care,1675456.39,6154,431,6.357308584686775,48,16
2024-04,North,Snacks,1370773.98,4953,350,6.485714285714286,47,16
2024-04,South,Beverages,713188.23,3439,271,6.771217712177122,31,16
2024-04,South,Dairy,980418.08,3525,270,5.555555555555555,31,16
2024-04,South,Home Care,835568.79,3601,265,6.528301886792453,31,16
2024-04,South,Personal Care,871067.04,3110,233,6.051502145922747,31,16
2024-04,South,Snacks,904044.1,3675,263,6.007604562737643,31,16
2024-04,West,Beverages,651538.12,3260,241,5.850622406639004,27,16
2024-04,West,Dairy,759015.04,2675,204,6.813725490196078,27,16
2024-04,West,Home Care,628697.14,2756,206,6.019417475728155,27,16
2024-04,West,Personal Care,924912.21,3148,221,6.085972850678733,27,16
2024-04,West,Snacks,825050.81,3119,229,6.244541484716157,27,16
2024-05,East,Beverages,423123.9,2083,130,4.923076923076923,14,16
2024-05,East,Dairy,432436.98,1669,101,5.594059405940594,14,16
2024-05,East,Home Care,426880.92,1716,101,4.900990099009901,14,16
2024-05,East,Personal Care,450077.87,1617,100,6.45,14,16
2024-05,East,Snacks,693635.8200000001,2365,122,5.614754098360656,14,16
2024-05,North,Beverages,1426550.15,6636,392,5.548469387755102,48,16
2024-05,North,Dairy,1778840.61,6305,380,6.842105263157895,48,16
2024-05,North,Home Care,1722426.6099999999,7198,422,6.575829383886256,48,16
2024-05,North,Personal Care,1849752.92,6819,404,7.0049504950495045,48,16
2024-05,North,Snacks,1888659.12,7351,412,6.237864077669903,48,16
2024-05,South,Beverages,736262.84,3920,261,5.708812260536399,31,16
2024-05,South,Dairy,1091330.96,3897,242,6.859504132231405,31,16
2024-05,South,Home Care,924044.9400000001,4151,273,6.043956043956044,31,16
2024-05,South,Personal Care,1167773.82,4261,276,6.4855072463768115,31,16
2024-05,South,Snacks,1074710.41,4187,266,6.447368421052632,31,16
2024-05,West,Beverages,654188.8,3487,225,5.333333333333333,27,16
2024-05,West,Dairy,1004523.42,3511,223,6.367713004484305,27,16
2024-05,West,Home Care,847044.82,3574,216,6.296296296296297,27,16
2024-05,West,Personal Care,1164183.38,4135,244,7.336065573770492,27,16
2024-05,West,Snacks,812679.13,3101,195,6.846153846153846,27,16
2024-06,East,Beverages,382884.37,1991,119,6.80672268907563,14,16
2024-06,East,Dairy,651307.79,2049,121,6.6115702479338845,14,16
2024-06,East,Home Care,452396.11,1869,110,6.5,14,16
2024-06,East,Personal Care,455797.74,1729,110,5.954545454545454,14,16
2024-06,East,Snacks,516471.12,2231,124,7.580645161290323,14,16
2024-06,North,Beverages,1304610.45,6373,384,5.638020833333333,48,16
2024-06,North,Dairy,1672108.52,5994,368,5.896739130434782,48,16
2024-06,North,Home Care,1337859.19,5713,357,6.512605042016807,47,16
2024-06,North,Personal Care,1732153.96,6381,380,5.9868421052631575,48,16
2024-06,North,Snacks,1611071.57,6159,390,5.935897435897436,48,16
2024-06,South,Beverages,744250.32,3716,244,5.860655737704918,31,16
2024-06,South,Dairy,1006859.32,3699,244,6.188524590163935,31,16
2024-06,South,Home Care,781800.18,3458,241,7.053941908713693,31,16
2024-06,South,Personal Care,1036714.03,3658,244,5.778688524590164,31,16
2024-06,South,Snacks,1060545.23,3721,250,6.16,31,16
2024-06,West,Beverages,585673.85,3049,205,5.317073170731708,27,16
2024-06,West,Dairy,986448.57,3276,221,6.990950226244344,27,16
2024-06,West,Home Care,815143.67,3177,199,6.206030150753769,27,16
2024-06,West,Personal Care,981577.39,3600,222,5.878378378378378,27,16
2024-06,West,Snacks,1064030.67,3905,238,6.932773109243698,27,16
2024-07,East,Beverages,368321.06,1841,125,5.96,14,16
2024-07,East,Dairy,569075.42,1819,131,5.99236641221374,14,16
2024-07,East,Home Care,386882.27,1621,123,7.073170731707317,14,16
2024-07,East,Personal Care,493210.04,1752,111,6.486486486486487,14,16
2024-07,East,Snacks,538885.89,1993,135,7.0,14,16
2024-07,North,Beverages,1060962.32,5982,453,6.181015452538631,48,16
2024-07,North,Dairy,1682325.98,5896,460,6.521739130434782,48,16
2024-07,North,Home Care,1384898.55,5899,424,6.816037735849057,48,16
2024-07,North,Personal Care,1586935.5,5745,430,6.069767441860465,48,16
2024-07,North,Snacks,1616106.65,6595,452,6.172566371681416,48,16
2024-07,South,Beverages,755508.65,3811,308,6.0064935064935066,31,16
2024-07,South,Dairy,988695.9,3663,286,6.013986013986014,31,16
2024-07,South,Home Care,815983.83,3527,293,6.228668941979522,31,16
2024-07,South,Personal Care,868685.97,3307,278,5.305755395683454,31,16
2024-07,South,Snacks,1017339.02,3671,292,6.027397260273973,31,16
2024-07,West,Beverages,622097.55,3120,245,6.469387755102041,27,16
2024-07,West,Dairy,916820.41,3390,273,5.989010989010989,27,16
2024-07,West,Home Care,616836.28,2652,227,6.674008810572687,27,16
2024-07,West,Personal Care,895411.15,3249,257,6.556420233463035,27,16
2024-07,West,Snacks,920606.8,3265,248,6.028225806451613,27,16
2024-08,East,Beverages,344369.49,1714,131,5.7251908396946565,14,16
2024-08,East,Dairy,523473.47,1658,118,6.271186440677966,14,16
2024-08,East,Home Care,338188.64,1400,123,6.463414634146342,14,16
2024-08,East,Personal Care,439909.53,1544,120,6.791666666666667,14,16
2024-08,East,Snacks,468964.98,1879,119,6.260504201680672,14,16
2024-08,North,Beverages,1058193.6,5627,445,6.595505617977528,48,16
2024-08,North,Dairy,1539632.59,5447,439,5.933940774487471,48,16
2024-08,North,Home Care,1337503.87,5444,431,6.020881670533643,48,16
2024-08,North,Personal Care,1412344.85,5276,404,6.361386138613861,48,16
2024-08,North,Snacks,1413617.15,5546,418,5.813397129186603,48,16
2024-08,South,Beverages,655586.47,3391,270,6.037037037037037,31,16
2024-08,South,Dairy,1052451.08,3662,282,6.0638297872340425,31,16
2024-08,South,Home Care,703225.77,3226,277,5.740072202166065,31,16
2024-08,South,Personal Care,883615.93,3395,270,6.092592592592593,31,16
2024-08,South,Snacks,1041964.7,3770,302,6.0927152317880795,31,16
2024-08,West,Beverages,456993.52999999997,2622,219,6.210045662100456,27,16
2024-08,West,Dairy,779760.71,2654,221,6.65158371040724,27,16
2024-08,West,Home Care,695530.37,2883,241,5.8921161825726145,27,16
2024-08,West,Personal Care,835455.44,3048,246,5.528455284552845,27,16
2024-08,West,Snacks,720550.05,2875,252,5.555555555555555,27,16
2024-09,East,Beverages,379127.34,1884,130,6.038461538461538,14,16
2024-09,East,Dairy,552101.33,2074,125,5.08,14,16
2024-09,East,Home Care,391984.55,1822,122,6.598360655737705,14,16
2024-09,East,Personal Care,515503.3,1913,125,6.68,14,16
2024-09,East,Snacks,465249.7,1822,122,6.598360655737705,14,16
2024-09,North,Beverages,1265237.64,6312,399,6.177944862155388,48,16
2024-09,North,Dairy,1664231.32,6024,401,6.321695760598503,48,16
2024-09,North,Home Care,1472483.94,6164,400,5.9125,48,16
2024-09,North,Personal Care,1502994.39,5636,379,5.936675461741425,48,16
2024-09,North,Snacks,1462019.83,5654,378,6.111111111111111,48,16
2024-09,South,Beverages,723087.06,3645,236,5.593220338983051,31,16
2024-09,South,Dairy,844790.5700000001,3198,247,6.4574898785425106,31,16
2024-09,South,Home Care,873153.7,3667,269,6.152416356877324,31,16
2024-09,South,Personal Care,914561.36,3428,247,6.781376518218623,31,16
2024-09,South,Snacks,1065286.65,3902,275,6.181818181818182,31,16
2024-09,West,Beverages,612118.28,2827,192,6.692708333333333,27,16
2024-09,West,Dairy,816341.2,3162,217,5.483870967741935,27,16
2024-09,West,Home Care,730069.36,3249,228,6.074561403508772,27,16
2024-09,West,Personal Care,1018386.07,3664,247,6.295546558704453,27,16
2024-09,West,Snacks,903561.78,3275,227,7.202643171806168,27,16
2024-10,East,Beverages,416010.6,2198,124,6.370967741935484,14,16
2024-10,East,Dairy,593500.24,2144,115,6.565217391304348,14,16
2024-10,East,Home Care,579855.34,2428,128,6.09375,14,16
2024-10,East,Personal Care,586730.36,2013,120,5.5,14,16
2024-10,East,Snacks,433337.98,1667,96,6.875,14,16
2024-10,North,Beverages,1313581.06,6887,393,6.195928753180661,48,16
2024-10,North,Dairy,2092733.03,7499,406,6.108374384236453,48,16
2024-10,North,Home Care,1571902.81,6595,375,5.933333333333334,48,16
2024-10,North,Personal Care,1640762.33,6251,363,6.377410468319559,48,16
2024-10,North,Snacks,1999530.72,7303,401,5.685785536159601,48,16
2024-10,South,Beverages,815740.36,4408,260,6.0,31,16
2024-10,South,Dairy,1202885.89,4172,241,5.601659751037344,31,16
2024-10,South,Home Care,937755.7,3832,245,6.448979591836735,31,16
2024-10,South,Personal Care,1201460.35,4502,272,6.360294117647059,31,16
2024-10,South,Snacks,1258989.08,4693,278,6.169064748201439,31,16
2024-10,West,Beverages,748329.23,3710,221,6.877828054298643,27,16
2024-10,West,Dairy,802984.2,3046,179,6.4525139664804465,27,16
2024-10,West,Home Care,824675.37,3397,210,5.523809523809524,27,16
2024-10,West,Personal Care,939549.68,3209,212,5.778301886792453,27,16
2024-10,West,Snacks,1018367.6,3980,235,6.51063829787234,27,16
2024-11,East,Beverages,361822.09,1760,95,6.157894736842105,14,16
2024-11,East,Dairy,552952.95,2004,112,6.830357142857143,14,16
2024-11,East,Home Care,668497.42,2658,143,5.734265734265734,14,16
2024-11,East,Personal Care,589819.39,2121,123,6.463414634146342,14,16
2024-11,East,Snacks,558384.76,2123,121,7.479338842975206,14,16
2024-11,North,Beverages,1358674.62,7005,376,6.795212765957447,48,16
2024-11,North,Dairy,1995464.18,7339,403,6.923076923076923,48,16
2024-11,North,Home Care,1705157.81,6891,394,6.700507614213198,48,16
2024-11,North,Personal Care,2105267.21,7875,433,6.674364896073903,48,16
2024-11,North,Snacks,1970991.39,7232,381,6.312335958005249,48,16
2024-11,South,Beverages,1035639.65,5258,299,6.2207357859531776,31,16
2024-11,South,Dairy,1310291.0,4711,261,6.532567049808429,31,16
2024-11,South,Home Care,1055425.91,4570,277,6.444043321299639,31,16
2024-11,South,Personal Care,1391092.04,4845,273,5.695970695970696,31,16
2024-11,South,Snacks,1098732.94,4042,245,6.26530612244898,31,16
2024-11,West,Beverages,746480.12,3630,219,5.981735159817352,27,16
2024-11,West,Dairy,1112287.25,4224,254,6.2795275590551185,27,16
2024-11,West,Home Care,889767.8,3945,221,6.108597285067873,27,16
2024-11,West,Personal Care,1148579.42,4371,246,6.300813008130081,27,16
2024-11,West,Snacks,1066678.89,4092,231,6.341991341991342,27,16
2024-12,East,Beverages,615685.37,3111,156,5.673076923076923,14,16
2024-12,East,Dairy,539218.3200000001,2050,109,5.779816513761468,14,16
2024-12,East,Home Care,594445.54,2528,137,6.240875912408759,14,16
2024-12,East,Personal Care,804765.48,2871,148,4.864864864864865,14,16
2024-12,East,Snacks,553053.89,2097,123,6.463414634146342,14,16
2024-12,North,Beverages,1576898.25,8368,447,5.850111856823267,48,16
2024-12,North,Dairy,2509856.32,8330,431,5.8816705336426915,48,16
2024-12,North,Home Care,2250846.7,9684,462,6.753246753246753,48,16
2024-12,North,Personal Care,2353527.84,8632,428,5.992990654205608,48,16
2024-12,North,Snacks,2159101.64,8510,451,6.208425720620842,48,16
2024-12,South,Beverages,852891.72,4565,265,5.377358490566038,31,16
2024-12,South,Dairy,1463690.64,5124,288,6.631944444444445,31,16
2024-12,South,Home Care,1305844.42,5430,305,5.672131147540983,31,16
2024-12,South,Personal Care,1336271.35,5081,289,6.43598615916955,31,16
2024-12,South,Snacks,1345101.76,4730,290,6.137931034482759,31,16
2024-12,West,Beverages,958631.59,4703,252,6.349206349206349,27,16
2024-12,West,Dairy,1449730.53,5012,269,6.561338289962825,27,16
2024-12,West,Home Care,1215882.76,4823,278,5.881294964028777,27,16
2024-12,West,Personal Care,1283337.69,4686,253,5.237154150197629,27,16
2024-12,West,Snacks,1306805.76,4892,278,5.377697841726619,27,16
2025-01,East,Beverages,247292.76,1173,107,5.327102803738318,14,16
2025-01,East,Dairy,357639.38,1310,107,7.009345794392523,14,16
2025-01,East,Home Care,261330.74,1213,96,6.927083333333333,14,16
2025-01,East,Personal Care,374794.79,1355,111,5.900900900900901,14,16
2025-01,East,Snacks,485767.05,1791,139,5.503597122302159,14,16
2025-01,North,Beverages,889816.82,4721,405,5.987654320987654,48,16
2025-01,North,Dairy,1381849.43,4760,393,5.661577608142494,48,16
2025-01,North,Home Care,1046663.98,4372,351,5.954415954415954,48,16
2025-01,North,Personal Care,1120046.16,4212,375,6.36,48,16
2025-01,North,Snacks,1190835.91,4535,387,6.395348837209302,48,16
2025-01,South,Beverages,573788.92,3010,264,6.041666666666667,31,16
2025-01,South,Dairy,859099.68,3158,250,6.1,30,16
2025-01,South,Home Care,660722.8099999999,2850,244,5.635245901639344,31,16
2025-01,South,Personal Care,750901.97,2785,232,6.228448275862069,31,16
2025-01,South,Snacks,711842.79,2585,236,6.038135593220339,31,16
2025-01,West,Beverages,555396.55,2948,243,6.3580246913580245,27,16
2025-01,West,Dairy,693805.56,2522,226,6.238938053097345,27,16
2025-01,West,Home Care,500157.1,2191,192,5.677083333333333,27,16
2025-01,West,Personal Care,722239.84,2725,220,6.818181818181818,27,16
2025-01,West,Snacks,688937.57,2546,235,5.829787234042553,27,16
2025-02,East,Beverages,229655.52,1169,107,5.841121495327103,14,16
2025-02,East,Dairy,331380.89,1178,113,7.699115044247788,14,16
2025-02,East,Home Care,255638.13,1197,111,5.045045045045045,14,16
2025-02,East,Personal Care,319983.48,1264,110,6.818181818181818,14,16
2025-02,East,Snacks,341044.53,1255,110,4.818181818181818,14,16
2025-02,North,Beverages,833603.57,4140,381,5.41994750656168,48,16
2025-02,North,Dairy,1155182.34,4311,392,5.9311224489795915,48,16
2025-02,North,Home Care,1085182.76,4694,410,6.865853658536586,48,16
2025-02,North,Personal Care,1125482.8,4226,348,6.522988505747127,48,16
2025-02,North,Snacks,1110370.97,4123,360,6.125,48,16
2025-02,South,Beverages,545505.83,2631,252,6.488095238095238,31,16
2025-02,South,Dairy,706870.72,2595,252,6.23015873015873,31,16
2025-02,South,Home Care,569971.21,2352,231,7.294372294372295,31,16
2025-02,South,Personal Care,704243.07,2580,225,6.111111111111111,31,16
2025-02,South,Snacks,596705.4,2374,238,6.15546218487395,31,16
2025-02,West,Beverages,416259.2,2213,206,6.990291262135922,27,16
2025-02,West,Dairy,596338.8,2267,198,6.666666666666667,27,16
2025-02,West,Home Care,489201.86,2089,192,5.677083333333333,27,16
2025-02,West,Personal Care,614230.98,2293,214,7.172897196261682,27,16
2025-02,West,Snacks,639483.63,2484,229,6.506550218340611,27,16
2025-03,East,Beverages,320613.88,1573,112,5.357142857142857,14,16
2025-03,East,Dairy,448285.63,1459,115,5.739130434782608,14,16
2025-03,East,Home Care,393497.01,1709,123,7.357723577235772,14,16
2025-03,East,Personal Care,411727.52,1486,126,5.396825396825397,14,16
2025-03,East,Snacks,394887.96,1531,105,7.0476190476190474,14,16
2025-03,North,Beverages,1037544.26,5009,379,6.596306068601583,48,16
2025-03,North,Dairy,1522553.01,5418,421,6.294536817102138,48,16
2025-03,North,Home Care,1335865.85,5208,378,6.481481481481482,48,16
2025-03,North,Personal Care,1269475.84,4773,386,6.036269430051814,48,16
2025-03,North,Snacks,1372979.39,5099,390,6.423076923076923,48,16
2025-03,South,Beverages,559018.55,2805,245,6.755102040816326,31,16
2025-03,South,Dairy,729490.95,2604,244,6.94672131147541,31,16
2025-03,South,Home Care,730601.94,3020,248,5.907258064516129,31,16
2025-03,South,Personal Care,816203.18,2981,246,6.138211382113822,31,16
2025-03,South,Snacks,719658.34,2778,239,6.02510460251046,31,16
2025-03,West,Beverages,564368.17,3154,242,5.929752066115703,27,16
2025-03,West,Dairy,724614.21,2627,222,5.8108108108108105,27,16
2025-03,West,Home Care,710543.14,3046,247,6.336032388663968,27,16
2025-03,West,Personal Care,753390.59,2893,226,6.238938053097345,27,16
2025-03,West,Snacks,798888.59,3066,223,6.098654708520179,27,16
2025-04,East,Beverages,277396.21,1457,104,7.3076923076923075,14,16
2025-04,East,Dairy,509927.79,1987,137,6.0583941605839415,14,16
2025-04,East,Home Care,316095.66,1328,98,5.510204081632653,14,16
2025-04,East,Personal Care,530616.94,1977,116,5.948275862068965,14,16
2025-04,East,Snacks,476922.0,1586,111,6.081081081081081,14,16
2025-04,North,Beverages,1148446.09,5834,389,6.5295629820051415,48,16
2025-04,North,Dairy,1640431.0,5865,404,6.571782178217822,48,16
2025-04,North,Home Care,1425850.71,5653,389,6.323907455012853,48,16
2025-04,North,Personal Care,1454852.12,5337,383,6.409921671018277,48,16
2025-04,North,Snacks,1395648.35,5455,396,6.363636363636363,48,16
2025-04,South,Beverages,635418.61,3183,231,6.190476190476191,31,16
2025-04,South,Dairy,1119210.99,3745,276,6.105072463768116,31,16
2025-04,South,Home Care,753969.74,3158,233,6.888412017167382,31,16
2025-04,South,Personal Care,857076.86,3221,252,5.555555555555555,31,16
2025-04,South,Snacks,733443.02,2713,192,7.317708333333333,31,16
2025-04,West,Beverages,599194.99,2898,205,5.975609756097561,27,16
2025-04,West,Dairy,869341.58,3149,211,5.710900473933649,27,16
2025-04,West,Home Care,567706.2,2421,199,5.552763819095477,27,16
2025-04,West,Personal Care,818367.43,2965,230,6.3478260869565215,27,16
2025-04,West,Snacks,794841.94,3171,227,6.894273127753304,27,16
2025-05,East,Beverages,311411.47,1699,109,6.8807339449541285,14,16
2025-05,East,Dairy,664191.23,2206,119,6.554621848739496,14,16
2025-05,East,Home Care,395445.74,1763,112,7.455357142857143,14,16
2025-05,East,Personal Care,575701.97,2036,120,5.833333333333333,14,16
2025-05,East,Snacks,477795.85,1904,123,6.951219512195122,14,16
2025-05,North,Beverages,1468742.4,7796,451,6.1086474501108645,48,16
2025-05,North,Dairy,1885919.4,6714,420,6.059523809523809,48,16
2025-05,North,Home Care,1745837.28,7835,438,6.404109589041096,48,16
2025-05,North,Personal Care,1953009.28,7244,434,7.039170506912442,48,16
2025-05,North,Snacks,1928560.92,7365,445,6.056179775280899,48,16
2025-05,South,Beverages,909989.46,4526,296,6.266891891891892,31,16
2025-05,South,Dairy,1112699.68,4133,269,6.356877323420075,31,16
2025-05,South,Home Care,999493.04,4224,284,5.774647887323944,31,16
2025-05,South,Personal Care,1094861.31,4075,278,6.294964028776978,31,16
2025-05,South,Snacks,1101973.04,4331,279,6.415770609318996,31,16
2025-05,West,Beverages,596974.25,3262,224,6.495535714285714,27,16
2025-05,West,Dairy,993545.21,3800,239,6.7364016736401675,27,16
2025-05,West,Home Care,901178.37,4060,239,6.2552301255230125,27,16
2025-05,West,Personal Care,1197286.14,4330,260,5.826923076923077,27,16
2025-05,West,Snacks,1083638.69,4187,251,6.633466135458168,27,16
2025-06,East,Beverages,296075.64,1758,109,5.5504587155963305,14,16
2025-06,East,Dairy,534888.33,1993,125,6.08,14,16
2025-06,East,Home Care,513818.08,2175,133,6.052631578947368,14,16
2025-06,East,Personal Care,543080.25,1942,121,6.983471074380165,14,16
2025-06,East,Snacks,571824.38,2218,139,5.0359712230215825,14,16
2025-06,North,Beverages,1324278.11,6659,397,5.9571788413098234,48,16
2025-06,North,Dairy,1798384.52,6581,392,7.053571428571429,48,16
2025-06,North,Home Care,1718772.4,7402,435,5.931034482758621,48,16
2025-06,North,Personal Care,1839387.72,6658,406,5.9236453201970445,48,16
2025-06,North,Snacks,1628599.58,6538,408,5.4411764705882355,48,16
2025-06,South,Beverages,862397.43,4210,287,7.10801393728223,31,16
2025-06,South,Dairy,1193104.78,4125,275,6.381818181818182,31,16
2025-06,South,Home Care,964811.4,4033,291,6.821305841924398,31,16
2025-06,South,Personal Care,1201009.62,4559,296,6.097972972972973,31,16
2025-06,South,Snacks,906531.62,3505,234,5.705128205128205,31,16
2025-06,West,Beverages,673357.43,3390,226,5.995575221238938,27,16
2025-06,West,Dairy,1020182.35,3676,235,7.0,27,16
2025-06,West,Home Care,770947.96,3401,221,6.0633484162895925,27,16
2025-06,West,Personal Care,878056.38,3475,229,7.379912663755459,27,16
2025-06,West,Snacks,1015306.27,3928,261,6.379310344827586,27,16
